ENST00000003912	NIPAL3
ENST00000332305	FBLIM1
ENST00000332628	ST3GAL3
ENST00000332947	FAM43B
ENST00000333070	LCK
ENST00000333172	TAS1R1
ENST00000333881	LCE3C
ENST00000334122	TEX38
ENST00000334163	POLR3C
ENST00000334179	UBL4B
ENST00000334194	CYP4Z1
ENST00000334232	EDARADD
ENST00000334269	LCE5A
ENST00000334351	PNRC2
ENST00000334371	LCE1F
ENST00000334513	NUDT17
ENST00000334634	TRIM46
ENST00000334785	NEXN
ENST00000334793	FOXD2
ENST00000334815	HPDL
ENST00000335071	FOXE3
ENST00000335123	LCE1A
ENST00000335137	OR4F5
ENST00000335211	IGFN1
ENST00000335282	FAM183A
ENST00000335430	ST3GAL3
ENST00000335497	RNF220
ENST00000335514	ATP5IF1
ENST00000335633	LCE3B
ENST00000335648	ZNF436-AS1
ENST00000336075	GSTM4
ENST00000336119	NLRP3
ENST00000336184	TRAF5
ENST00000336230	MRPL37
ENST00000336294	TMEM39B
ENST00000336454	CDC14A
ENST00000336715	ZNF687
ENST00000336830	FCRLB
ENST00000336890	LCK
ENST00000336937	ATF3
ENST00000337107	CELA3B
ENST00000337132	NECAP2
ENST00000337338	LRRC8D
ENST00000337428	LRRC71
ENST00000337894	ADORA1
ENST00000338272	TMEM167B
ENST00000338302	PEAR1
ENST00000338513	GJB5
ENST00000338555	SCNN1D
ENST00000338591	KLHL17
ENST00000338639	PARK7
ENST00000338660	VWA1
ENST00000338855	CATSPER4
ENST00000338895	DFFB
ENST00000338920	PRRC2C
ENST00000339113	ATAD3A
ENST00000339255	NIPAL3
ENST00000339276	SFN
ENST00000339348	FCRL6
ENST00000339350	DFFB
ENST00000339381	TAS1R3
ENST00000339480	GJB4
ENST00000339553	MROH7
ENST00000339876	NFASC
ENST00000339950	USP1
ENST00000340030	FASLG
ENST00000340281	ZNF326
ENST00000340305	TMEM201
ENST00000340381	TMEM201
ENST00000340385	PRDX6
ENST00000340450	CAP1
ENST00000340480	HIPK1
ENST00000340535	MIA3
ENST00000340612	CCDC30
ENST00000340699	PBX1
ENST00000340758	IL19
ENST00000340934	BROX
ENST00000340979	IFI16
ENST00000341065	SAMD11
ENST00000341360	ATP2B4
ENST00000341491	ATF3
ENST00000341517	PDE4B
ENST00000341524	KCNAB2
ENST00000341785	FAM163A
ENST00000341872	LGALS8
ENST00000342022	CCDC30
ENST00000342055	RHD
ENST00000342066	SAMD11
ENST00000342104	NBPF3
ENST00000342115	AMPD2
ENST00000342280	GJA4
ENST00000342751	SDHC
ENST00000342754	NEXN
ENST00000342818	BTBD8
ENST00000342927	OR2T2
ENST00000343043	DAP3
ENST00000343067	EPB41
ENST00000343090	UBE4B
ENST00000343110	PRELP
ENST00000343137	PRDM2
ENST00000343253	CCDC18
ENST00000343320	CHIA
ENST00000343414	OR2G6
ENST00000343420	CD55
ENST00000343534	C1orf162
ENST00000343744	ACOT11
ENST00000343776	ZNF678
ENST00000343815	UBAP2L
ENST00000343889	PLCH2
ENST00000343938	CPTP
ENST00000344086	IL6R
ENST00000344147	ZCCHC17
ENST00000344548	CDC42
ENST00000344579	TPRG1L
ENST00000344610	LEPR
ENST00000344642	LDLRAD2
ENST00000344720	AK5
ENST00000344922	MIA3
ENST00000345034	RSC1A1
ENST00000345512	PTPRU
ENST00000346387	TP73
ENST00000346436	CLCN6
ENST00000346569	ECM1
ENST00000346806	CTH
ENST00000347132	KCNQ4
ENST00000347255	RABGAP1L
ENST00000347310	IL23R
ENST00000347529	EPB41
ENST00000347559	LMNA
ENST00000347615	SMG7
ENST00000347631	ST3GAL3
ENST00000347652	VCAM1
ENST00000348069	NLRP3
ENST00000348564	PTPRC
ENST00000348581	EXO1
ENST00000349139	WDR3
ENST00000349334	GSTM1
ENST00000349460	EPB41
ENST00000349527	FCRLA
ENST00000349533	LEPR
ENST00000349792	PIP5K1A
ENST00000350030	NASP
ENST00000350501	GRHL3
ENST00000350710	FCRLA
ENST00000351035	ST3GAL3
ENST00000351136	TAS1R1
ENST00000351223	NASP
ENST00000351829	AKR1A1
ENST00000352210	PPOX
ENST00000352231	LGALS8
ENST00000352445	TOR3A
ENST00000352527	KCNAB2
ENST00000352594	CHIA
ENST00000352845	PKP1
ENST00000353024	TUFT1
ENST00000353126	ST3GAL3
ENST00000353665	CHIA
ENST00000354177	SELENON
ENST00000354437	TP73
ENST00000354537	CAPN9
ENST00000354567	AK5
ENST00000354618	THRAP3
ENST00000354841	FMO1
ENST00000354848	CD46
ENST00000354906	MIA3
ENST00000355011	BRDT
ENST00000355014	SEMA4A
ENST00000355082	EIF3I
ENST00000355197	AQP10
ENST00000355281	OR2L5
ENST00000355305	DNM3
ENST00000355356	MIER1
ENST00000355360	PGBD2
ENST00000355387	RNF220
ENST00000355485	VANGL1
ENST00000355716	TNFRSF14
ENST00000355728	OR2T6
ENST00000355826	MIB2
ENST00000355928	LCK
ENST00000355956	ADAM15
ENST00000355977	MIER1
ENST00000356006	AL354714.1
ENST00000356026	MMP23B
ENST00000356046	GRHL3
ENST00000356090	NCDN
ENST00000356261	LHX8
ENST00000356415	RAP1A
ENST00000356511	PPIE
ENST00000356554	MAN1A2
ENST00000356607	PEX14
ENST00000356634	KDM1A
ENST00000356657	FDPS
ENST00000356689	S100PBP
ENST00000356729	ATP2B4
ENST00000356764	PPP1R12B
ENST00000356836	B4GALT2
ENST00000356955	ADAM15
ENST00000357046	NBPF5P
ENST00000357083	ELAVL4
ENST00000357172	CEPT1
ENST00000357206	ZFYVE9
ENST00000357302	CSF1
ENST00000357434	CEP350
ENST00000357443	MOV10
ENST00000357444	RABGAP1L
ENST00000357501	TMEM79
ENST00000357508	ARMH1
ENST00000357542	RHD
ENST00000357570	CACNA1E
ENST00000357650	SLC30A7
ENST00000357658	SZT2
ENST00000357681	ATP2B4
ENST00000357692	MIER1
ENST00000357714	CD46
ENST00000357726	PRAMEF12
ENST00000357733	TP73
ENST00000357898	SPSB1
ENST00000357977	NFIA
ENST00000358024	TMCC2
ENST00000358028	NIPAL3
ENST00000358120	OR2L13
ENST00000358133	PLOD1
ENST00000358170	CD46
ENST00000358193	LEXM
ENST00000358206	ABHD17AP1
ENST00000358338	CACNA1E
ENST00000358527	EXO5
ENST00000358660	NTRK1
ENST00000358671	FCGR2B
ENST00000358704	ZBTB18
ENST00000358729	AMPD2
ENST00000358823	CAMSAP2
ENST00000358897	FHAD1
ENST00000358966	GGPS1
ENST00000359172	AHCYL1
ENST00000359209	KIRREL1
ENST00000359280	ADAM15
ENST00000359316	MTARC2
ENST00000359318	AADACL3
ENST00000359326	C1orf112
ENST00000359331	SLAMF7
ENST00000359362	EDARADD
ENST00000359511	SLC25A44
ENST00000359523	MPZL1
ENST00000359594	OR2T3
ENST00000359621	CELA2A
ENST00000359637	CFH
ENST00000359651	ELF3
ENST00000359682	OR2M2
ENST00000359709	IFI16
ENST00000359751	EFNA4
ENST00000359858	ZMYM1
ENST00000359875	HHLA3
ENST00000359929	ADGRL2
ENST00000359947	PTPRF
ENST00000359959	OR2L3
ENST00000360009	DHDDS
ENST00000360032	DMBX1
ENST00000360049	NFASC
ENST00000360064	RYR2
ENST00000360066	CDK18
ENST00000360089	KIRREL1
ENST00000360090	LCE1B
ENST00000360108	CACNA1E
ENST00000360115	MACF1
ENST00000360212	CD46
ENST00000360254	DISP1
ENST00000360358	OR2W3
ENST00000360472	PEA15
ENST00000360674	ADAM15
ENST00000360827	FAM177B
ENST00000360840	MRPL37
ENST00000360851	RGL1
ENST00000361035	HAO2
ENST00000361084	RAB25
ENST00000361110	PIK3CD
ENST00000361127	LRIG2
ENST00000361144	KAZN
ENST00000361200	STYXL2
ENST00000361216	ATP1A2
ENST00000361221	ARHGEF10L
ENST00000361249	C8A
ENST00000361277	BNIPL
ENST00000361284	OR10Z1
ENST00000361293	CHD1L
ENST00000361297	MAST2
ENST00000361302	AGL
ENST00000361308	LMNA
ENST00000361314	GPX7
ENST00000361322	CAMK1G
ENST00000361328	ZSCAN20
ENST00000361350	SSBP3-AS1
ENST00000361355	AMY2B
ENST00000361392	ST3GAL3
ENST00000361400	ST3GAL3
ENST00000361427	HMGN2
ENST00000361496	RCSD1
ENST00000361530	CNKSR1
ENST00000361539	BRINP2
ENST00000361544	CDC14A
ENST00000361546	UBAP2L
ENST00000361547	SELENON
ENST00000361548	GRHL3
ENST00000361556	OSBPL9
ENST00000361565	IPO9
ENST00000361584	ZFP69B
ENST00000361587	HIPK1
ENST00000361588	BCAN
ENST00000361625	ZFYVE9
ENST00000361641	TSEN15
ENST00000361688	OR10R3P
ENST00000361689	MACF1
ENST00000361735	EEF1AKNMT
ENST00000361745	DMAP1
ENST00000361746	ST3GAL3
ENST00000361764	HHLA3
ENST00000361771	WDTC1
ENST00000361799	RNF220
ENST00000361812	ST3GAL3
ENST00000361872	GMEB1
ENST00000361886	TAFA3
ENST00000361897	NOS1AP
ENST00000361911	ZNF326
ENST00000361915	AGL
ENST00000361921	DIO1
ENST00000361923	PER3
ENST00000361928	GNRHR2
ENST00000362005	BRDT
ENST00000362011	SHISA4
ENST00000362019	EEF1AKNMT
ENST00000362030	UBE2WP1
ENST00000362104	MIR30E
ENST00000362106	MIR429
ENST00000362370	RNA5SP46
ENST00000362371	Y_RNA
ENST00000362477	RNU5E-1
ENST00000362515	RNU6-369P
ENST00000362572	Y_RNA
ENST00000362684	RNU1-5P
ENST00000362692	RNU6-37P
ENST00000362725	Y_RNA
ENST00000362796	SNORD3G
ENST00000362979	RNU5F-6P
ENST00000363009	RNVU1-22
ENST00000363020	Y_RNA
ENST00000363051	RNU6-161P
ENST00000363064	SNORD81
ENST00000363089	AL359273.1
ENST00000363093	RNU6-605P
ENST00000363166	RNA5SP65
ENST00000363215	Y_RNA
ENST00000363217	SNORA73B
ENST00000363269	RNU6-778P
ENST00000363304	Y_RNA
ENST00000363384	RNU6-536P
ENST00000363392	Y_RNA
ENST00000363666	AL137790.1
ENST00000363677	Y_RNA
ENST00000363705	RNU6-414P
ENST00000363721	Y_RNA
ENST00000363804	RN7SKP160
ENST00000363926	RNU6-753P
ENST00000363930	RNU1-130P
ENST00000363969	RNA5SP48
ENST00000364043	SNORD46
ENST00000364072	RNU6-501P
ENST00000364112	Y_RNA
ENST00000364244	Y_RNA
ENST00000364259	SNORA58B
ENST00000364272	RNU1-151P
ENST00000364278	RNA5SP42
ENST00000364313	RNVU1-3
ENST00000364403	RNU6-776P
ENST00000364477	RNA5SP69
ENST00000364535	Y_RNA
ENST00000364551	Y_RNA
ENST00000364617	SNORD45B
ENST00000364622	RNA5SP78
ENST00000364623	RNU1-141P
ENST00000364672	SNORA62
ENST00000364674	SNORA16B
ENST00000364739	RNU4-28P
ENST00000364749	AL512326.1
ENST00000364768	RNY4P16
ENST00000364876	RNU6-828P
ENST00000364888	RN7SKP55
ENST00000364919	RNU6-1071P
ENST00000364938	SNORA73A
ENST00000364998	Y_RNA
ENST00000365028	SNORA72
ENST00000365030	RNY1P13
ENST00000365049	RNU6-1022P
ENST00000365117	Y_RNA
ENST00000365157	Y_RNA
ENST00000365161	SNORD38A
ENST00000365186	RNA5SP19
ENST00000365193	RNA5SP79
ENST00000365209	Y_RNA
ENST00000365384	Y_RNA
ENST00000365394	RNA5SP77
ENST00000365545	RN7SKP269
ENST00000366105	LIX1L-AS1
ENST00000366136	FAM78B-AS1
ENST00000366221	AL645728.1
ENST00000366437	MIR205HG
ENST00000366473	OR2T4
ENST00000366475	OR2T4
ENST00000366476	OR2M5
ENST00000366479	OR2L2
ENST00000366480	OR2AK2
ENST00000366481	TRIM58
ENST00000366488	GCSAML
ENST00000366489	GCSAML
ENST00000366491	GCSAML
ENST00000366492	OR2W5
ENST00000366496	NLRP3
ENST00000366497	NLRP3
ENST00000366510	SCCPDH
ENST00000366511	CNST
ENST00000366512	CNST
ENST00000366513	CNST
ENST00000366518	KIF26B
ENST00000366521	EFCAB2
ENST00000366522	EFCAB2
ENST00000366523	EFCAB2
ENST00000366528	COX20
ENST00000366531	CATSPERE
ENST00000366533	CATSPERE
ENST00000366534	CATSPERE
ENST00000366537	C1orf100
ENST00000366541	SDCCAG8
ENST00000366548	EXO1
ENST00000366552	WDR64
ENST00000366555	KMO
ENST00000366557	KMO
ENST00000366558	KMO
ENST00000366559	KMO
ENST00000366574	RYR2
ENST00000366576	MTR
ENST00000366577	MTR
ENST00000366578	ACTN2
ENST00000366583	LGALS8
ENST00000366584	LGALS8
ENST00000366587	ENO1P1
ENST00000366591	GPR137B
ENST00000366592	GPR137B
ENST00000366601	TBCE
ENST00000366612	COA6
ENST00000366613	COA6
ENST00000366615	COA6
ENST00000366617	SLC35F3
ENST00000366618	SLC35F3
ENST00000366620	KCNK1
ENST00000366621	KCNK1
ENST00000366622	MAP3K21
ENST00000366623	MAP3K21
ENST00000366624	MAP3K21
ENST00000366627	NTPCR
ENST00000366628	NTPCR
ENST00000366632	DISC1
ENST00000366633	DISC1
ENST00000366636	DISC1
ENST00000366637	DISC1
ENST00000366639	TSNAX
ENST00000366644	SPRTN
ENST00000366647	GNPAT
ENST00000366653	TRIM67
ENST00000366658	ARV1
ENST00000366666	CAPN9
ENST00000366668	COG2
ENST00000366669	COG2
ENST00000366672	GALNT2
ENST00000366690	RAB4A
ENST00000366691	RHOU
ENST00000366704	OBSCN
ENST00000366706	OBSCN
ENST00000366711	IBA57
ENST00000366714	GJC2
ENST00000366716	GUK1
ENST00000366718	GUK1
ENST00000366721	GUK1
ENST00000366722	GUK1
ENST00000366723	GUK1
ENST00000366726	GUK1
ENST00000366728	GUK1
ENST00000366730	GUK1
ENST00000366757	PRSS38
ENST00000366759	SNAP47
ENST00000366760	SNAP47
ENST00000366777	COQ8A
ENST00000366778	COQ8A
ENST00000366779	AL391628.1
ENST00000366782	PSEN2
ENST00000366783	PSEN2
ENST00000366788	STUM
ENST00000366789	STUM
ENST00000366810	MIXL1
ENST00000366813	H3-3A
ENST00000366814	H3-3A
ENST00000366815	H3-3A
ENST00000366816	H3-3A
ENST00000366837	EPHX1
ENST00000366838	SRP9
ENST00000366839	SRP9
ENST00000366848	DNAH14
ENST00000366849	DNAH14
ENST00000366850	DNAH14
ENST00000366856	CNIH4
ENST00000366857	CNIH4
ENST00000366858	CNIH4
ENST00000366860	CNIH4
ENST00000366862	FBXO28
ENST00000366866	RPS6KA1
ENST00000366875	CCDC185
ENST00000366903	HLX
ENST00000366910	MTARC1
ENST00000366913	MTARC2
ENST00000366917	MARK1
ENST00000366918	MARK1
ENST00000366922	IARS2
ENST00000366927	LYPLAL1
ENST00000366928	LYPLAL1
ENST00000366929	TGFB2
ENST00000366930	TGFB2
ENST00000366932	RRP15
ENST00000366933	SPATA17
ENST00000366955	CENPF
ENST00000366957	SMYD2
ENST00000366958	PROX1
ENST00000366959	RPS6KC1
ENST00000366960	RPS6KC1
ENST00000366964	VASH2
ENST00000366965	VASH2
ENST00000366966	VASH2
ENST00000366967	VASH2
ENST00000366968	VASH2
ENST00000366969	VASH2
ENST00000366971	FLVCR1
ENST00000366973	TATDN3
ENST00000366974	TATDN3
ENST00000366981	ATF3
ENST00000366983	ATF3
ENST00000366985	ATF3
ENST00000366987	ATF3
ENST00000366988	NENF
ENST00000366991	DTL
ENST00000367004	TRAF5
ENST00000367005	RCOR3
ENST00000367006	RCOR3
ENST00000367009	HHAT
ENST00000367010	HHAT
ENST00000367012	SERTAD4
ENST00000367015	SYT14
ENST00000367019	SYT14
ENST00000367023	TRAF3IP3
ENST00000367024	TRAF3IP3
ENST00000367025	TRAF3IP3
ENST00000367026	TRAF3IP3
ENST00000367027	HSD11B1
ENST00000367028	HSD11B1
ENST00000367029	G0S2
ENST00000367041	CD46
ENST00000367042	CD46
ENST00000367047	CD46
ENST00000367049	CR1
ENST00000367050	CR1
ENST00000367051	CR1
ENST00000367052	CR1
ENST00000367053	CR1
ENST00000367057	CR2
ENST00000367058	CR2
ENST00000367059	CR2
ENST00000367063	CD55
ENST00000367064	CD55
ENST00000367067	CD55
ENST00000367070	C4BPA
ENST00000367076	C4BPB
ENST00000367078	C4BPB
ENST00000367079	PFKFB2
ENST00000367080	PFKFB2
ENST00000367093	IL24
ENST00000367095	IL24
ENST00000367096	IL20
ENST00000367098	IL20
ENST00000367103	MAPKAPK2
ENST00000367106	DYRK3
ENST00000367108	DYRK3
ENST00000367109	DYRK3
ENST00000367123	SRGAP2C
ENST00000367147	MFSD4A
ENST00000367159	TMCC2
ENST00000367173	NFASC
ENST00000367179	MDM4
ENST00000367180	MDM4
ENST00000367182	MDM4
ENST00000367183	MDM4
ENST00000367203	SOX13
ENST00000367204	SOX13
