"Gene_ID","Gene_Name","Transcript_A","Transcript_B","COEX_Score","P_Value","Enriched_Cell_Types_A","Enriched_Cell_Types_B","Max_Contrast_A","Max_Contrast_B"
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246700",-0.0406131893396378,0.00950850813929751,"02; 04; 05; 06","11; 12",0.327867444111477,0.291512254657079
"ENSMUSG00000021268","Meg3","ENSMUST00000245180","ENSMUST00000246047",-0.0405287593603134,0.0096586104879949,"11; 12","02; 04; 05; 06",0.292995549680827,0.365237582654575
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246499",-0.0404575392603874,0.00978686650935778,"02; 04; 05; 06","11; 12",0.364717047378952,0.289390580009264
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000143836",-0.0404360145330429,0.0098259266508486,"02; 04; 05; 06","11; 12",0.327199914174505,0.286139511984636
"ENSMUSG00000028176","Lrrc7","ENSMUST00000197866","ENSMUST00000198284",-0.0404111556708813,0.00987120993193376,"02; 04; 08","09",0.0556721786538017,0.0958575794491675
"ENSMUSG00000063511","Snrnp70","ENSMUST00000211178","ENSMUST00000211290",-0.0403653457760811,0.00995514520271748,"07","12",0.0519406533604918,0.0591065870162725
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000245980",-0.0401460155844688,0.0103658856369417,"02; 04; 05; 06","11; 12",0.329077769107367,0.286337425450807
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246427",-0.0395678579807281,0.0115217612792642,"02; 04; 05; 06","11; 12",0.362875040180108,0.289604683343157
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246700",-0.0391834117472172,0.0123523471575078,"02; 04; 05; 06","11; 12",0.362482145145474,0.288256035277196
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247194",-0.0390765070915222,0.0125925437393224,"02; 04; 05; 06","11; 12",0.324859276109988,0.285109184432817
"ENSMUSG00000021268","Meg3","ENSMUST00000143836","ENSMUST00000246047",-0.0390331707894802,0.0126910849797695,"11; 12","02; 04; 05; 06",0.282883292604753,0.361814615208502
"ENSMUSG00000021268","Meg3","ENSMUST00000245980","ENSMUST00000246047",-0.0386469401419163,0.013599910601874,"11; 12","02; 04; 05; 06",0.283081206070924,0.363692470141363
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247194",-0.0377384647727013,0.0159676804996298,"02; 04; 05; 06","11; 12",0.359473977143985,0.281852965052934
"ENSMUSG00000023868","Pde10a","ENSMUST00000141877","ENSMUST00000233652",-0.0374922342598438,0.0166688719817558,"07","08; 09; 10; 11",0.506276173349628,0.134034353523623
"ENSMUSG00000027677","Ttc14","ENSMUST00000117915","ENSMUST00000200271",-0.0359033681452274,0.0218779626236424,"-1","11",0.0734710234880686,0.0629260195667364
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000243087",-0.0335734188556671,0.0320561737655042,"02; 04; 05; 06","10; 11; 12",0.315973535609048,0.244947654119281
"ENSMUSG00000030209","Grin2b","ENSMUST00000053880","ENSMUST00000125905",-0.0332230068743229,0.0338936068938102,"11","02; 04; 06",0.0980486631596152,0.102529759412685
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246154",-0.0330773256719112,0.0346836000219552,"02; 04; 05; 06","11; 12",0.315601979478138,0.246521529411087
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000243937",-0.0325118079781532,0.0379009686305604,"02; 04; 05; 06","11; 12",0.314057937948564,0.247845648824109
"ENSMUSG00000021268","Meg3","ENSMUST00000243087","ENSMUST00000246047",-0.0324691124260426,0.03815386024795,"10; 11; 12","02; 04; 05; 06",0.241691434739398,0.350588236643044
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000143847",-0.0321921743452549,0.0398292808515676,"02; 04; 05; 06","11; 12",0.313592033599857,0.241766619601146
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247320",-0.0321921743452549,0.0398292808515676,"02; 04; 05; 06","11; 12",0.313592033599857,0.244975025566109
"ENSMUSG00000021268","Meg3","ENSMUST00000126289","ENSMUST00000129245",-0.0320291556417942,0.040844398341674,"11; 12","02; 04; 05; 06",0.251791429965894,0.314040394328872
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246154",-0.031967468559742,0.0412342006843439,"02; 04; 05; 06","11; 12",0.350216680512134,0.243265310031204
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247335",-0.031869862228632,0.0418574135971758,"02; 04; 05; 06","11; 12",0.313122180391148,0.245308441285365
"ENSMUSG00000021268","Meg3","ENSMUST00000243937","ENSMUST00000246047",-0.0314670130610466,0.0445146003137914,"11; 12","02; 04; 05; 06",0.244589429444227,0.34867263898256
"ENSMUSG00000021268","Meg3","ENSMUST00000143847","ENSMUST00000246047",-0.0311578828841448,0.046648894458927,"11; 12","02; 04; 05; 06",0.238510400221263,0.348206734633853
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247320",-0.0311578828841448,0.046648894458927,"02; 04; 05; 06","11; 12",0.348206734633853,0.241718806186226
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246462",-0.0310662649571896,0.0472977495233195,"02; 04; 05; 06","11; 12",0.312582257417436,0.23981135309922
"ENSMUSG00000021268","Meg3","ENSMUST00000126289","ENSMUST00000246047",-0.0309557411819696,0.0480905838864599,"11; 12","02; 04; 05; 06",0.248535210586012,0.348655095362868
"ENSMUSG00000021268","Meg3","ENSMUST00000243087","ENSMUST00000247243",-0.0308505464345217,0.0488555331795325,"11","08; 09",0.134736671644308,0.0574118658956287
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247335",-0.0308461673557758,0.0488875969170399,"02; 04; 05; 06","11; 12",0.347736881425145,0.242052221905482
